subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_type	object_category	object_label	comment	author_id	mapping_provider	mapping_date
dwc:continent	Continent	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:continent	rdf property	dwc:Event	Continent	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:waterBody	Water Body	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:waterBody	rdf property	dwc:Event	Water Body	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:islandGroup	Island Group	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:islandGroup	rdf property	dwc:Event	Island Group	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:island	Island	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:island	rdf property	dwc:Event	Island	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:countryCode	Country Code	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:countryCode	rdf property	dwc:Event	Country Code	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:country	Country	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:country	rdf property	dwc:Event	Country	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:stateProvince	State Province	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:stateProvince	rdf property	dwc:Event	State Province	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:county	County	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:county	rdf property	dwc:Event	County	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:municipality	Municipality	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:municipality	rdf property	dwc:Event	Municipality	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:locality	Locality	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:locality	rdf property	dwc:Event	Locality	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:minimumElevationInMeters	Minimum Elevation In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:minimumElevationInMeters	rdf property	dwc:Event	Minimum Elevation In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:maximumElevationInMeters	Maximum Elevation In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:maximumElevationInMeters	rdf property	dwc:Event	Maximum Elevation In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:verticalDatum	Vertical Datum	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verticalDatum	rdf property	dwc:Event	Vertical Datum	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:minimumDepthInMeters	Minimum Depth In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:minimumDepthInMeters	rdf property	dwc:Event	Minimum Depth In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:maximumDepthInMeters	Maximum Depth In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:maximumDepthInMeters	rdf property	dwc:Event	Maximum Depth In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface In Meters	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:minimumDistanceAboveSurfaceInMeters	rdf property	dwc:Event	Minimum Distance Above Surface In Meters	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
