subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dwc:samplingProtocol	Sampling Protocol	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/method/value	Value	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:fieldNotes	Field Notes	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/notes/value	Value	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:eventRemarks	Event Remarks	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:notes/value	Value	rdf property	Unit		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:continent	Continent	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""Continent"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:waterBody	Water Body	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""Water body"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:islandGroup	Island Group	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""Island group"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:island	Island	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/namedAreas/namedArea/*/areaName/value	Value	rdf property	Gathering	"First hit when abcd:gathering/namedAreas/namedArea/*/areaClass/value is ""Island"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:country	Country	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/country/name/value	Value	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:country	Country	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/country/nameDerived/value	Value	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:countryCode	Country Code	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/country/iso3166Code	Iso3166code	rdf property	Gathering		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
