subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dwc:verbatimLabel	Verbatim Label	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimLabel	Verbatim Label	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:dynamicProperties	Dynamic Properties	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:dynamicProperties	Dynamic Properties	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:behavior	Behavior	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:behavior	Behavior	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:sex	Sex	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:sex	Sex	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lifeStage	Life Stage	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:lifeStage	Life Stage	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:reproductiveCondition	Reproductive Condition	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:reproductiveCondition	Reproductive Condition	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:caste	Caste	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:caste	Caste	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:vitality	Vitality	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:vitality	Vitality	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:establishmentMeans	Establishment Means	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:establishmentMeans	Establishment Means	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:pathway	Pathway	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:pathway	Pathway	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:degreeOfEstablishment	Degree Of Establishment	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:degreeOfEstablishment	Degree Of Establishment	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:GeoreferenceVerificationStatus	Georeference Verification Status	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:GeoreferenceVerificationStatus	Georeference Verification Status	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:fieldNumber	Field Number	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:fieldNumber	Field Number	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:eventDate	Event Date	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventDate	Event Date	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:verbatimEventDate	Verbatim Event Date	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimEventDate	Verbatim Event Date	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:year	Year	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:year	Year	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:month	Month	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:month	Month	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:day	Day	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:day	Day	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:habitat	Habitat	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:habitat	Habitat	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:sampleSizeValue	Sample Size Value	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:sampleSizeValue	Sample Size Value	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:sampleSizeUnit	Sample Size Unit	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:sampleSizeUnit	Sample Size Unit	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:samplingProtocol	Sampling Protocol	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:samplingProtocol	Sampling Protocol	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:fieldNotes	Field Notes	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:fieldNotes	Field Notes	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:eventRemarks	Event Remarks	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventRemarks	Event Remarks	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:eventRemarks	Event Remarks	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:occurrenceRemarks	Occurrence Remarks	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:locationID	Location ID	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:locationID	Location ID	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:continent	Continent	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:continent	Continent	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:waterBody	Water Body	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:waterBody	Water Body	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:islandGroup	Island Group	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:islandGroup	Island Group	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:island	Island	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:island	Island	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:country	Country	rdf property	ods:Location	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:country	Country	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
